throughput,frame_nr,pkt_nr,n_elements
8,372,57257,16
8,373,57333,128
8,373,57372,128
8,373,57410,10
8,374,57487,128
8,374,57525,128
8,374,57564,9
8,375,57640,128
8,375,57679,128
8,375,57718,13
8,376,57794,128
8,376,57833,128
8,376,57871,13
8,377,57948,128
8,377,57986,128
8,377,58025,13
8,378,58101,128
8,378,58140,128
8,378,58179,11
8,379,58255,128
8,379,58294,128
8,379,58332,6
8,380,58409,128
8,380,58447,128
8,380,58486,9
8,381,58562,128
8,381,58601,128
8,381,58640,13
8,382,58716,128
8,382,58755,128
8,382,58794,6
8,383,58870,128
8,383,58909,128
8,383,58947,11
8,384,59024,128
8,384,59062,128
8,384,59101,13
8,385,59177,128
8,385,59216,128
8,385,59255,10
8,386,59331,128
8,386,59370,128
8,386,59409,13
8,387,59485,128
8,387,59524,128
8,387,59562,13
8,388,59638,128
8,388,59677,128
8,388,59716,9
8,389,59792,128
8,389,59831,128
8,389,59869,8
8,390,59946,128
8,390,59984,128
8,390,60023,9
8,391,60099,128
8,391,60138,128
8,391,60177,5
8,392,60253,128
8,392,60292,128
8,392,60331,8
8,393,60407,128
8,393,60446,128
8,393,60484,9
8,394,60561,128
8,394,60600,128
8,394,60638,17
8,395,60715,128
8,395,60754,128
8,395,60792,11
8,396,60868,128
8,396,60907,128
8,396,60946,15
8,397,61022,128
8,397,61061,128
8,397,61099,13
8,398,61175,128
8,398,61214,128
8,398,61253,12
8,399,61329,128
8,399,61368,128
8,399,61407,9
8,400,61483,128
8,400,61522,128
8,400,61560,9
8,401,61636,128
8,401,61675,128
8,401,61714,13
8,402,61790,128
8,402,61829,128
8,402,61868,7
8,403,61944,128
8,403,61983,128
8,403,62021,8
8,404,62098,128
8,404,62136,128
8,404,62175,12
8,405,62251,128
8,405,62290,128
8,405,62329,11
8,406,62405,128
8,406,62444,128
8,406,62483,5
8,407,62559,128
8,407,62598,128
8,407,62636,6
8,408,62713,128
8,408,62751,128
8,408,62790,12
8,409,62866,128
8,409,62905,128
8,409,62944,19
8,410,63020,128
8,410,63059,128
8,410,63097,11
8,411,63174,128
8,411,63212,128
8,411,63251,13
8,412,63327,128
8,412,63366,128
8,412,63405,10
8,413,63481,128
8,413,63520,128
8,413,63558,7
8,414,63635,128
8,414,63673,128
8,414,63712,9
8,415,63788,128
8,415,63827,128
8,415,63866,9
8,416,63942,128
8,416,63981,128
8,416,64020,12
8,417,64096,128
8,417,64135,128
8,417,64173,10
8,418,64250,128
8,418,64288,128
8,418,64327,17
8,419,64403,128
8,419,64442,128
8,419,64481,11
8,420,64557,128
8,420,64596,128
8,420,64634,12
8,421,64711,128
8,421,64749,128
8,421,64788,7
8,422,64864,128
8,422,64903,128
8,422,64942,11
8,423,65018,128
8,423,65057,128
8,423,65096,8
8,424,65172,128
8,424,65211,128
8,424,65249,12
8,425,65326,128
8,425,65364,128
8,425,65403,10
8,426,65479,128
8,426,65518,128
8,426,65557,8
8,427,65633,128
8,427,65672,128
8,427,65710,12
8,428,65787,128
8,428,65825,128
8,428,65864,10
8,429,65940,128
8,429,65979,128
8,429,66018,10
8,430,66094,128
8,430,66133,128
8,430,66171,4
8,431,66248,128
8,431,66287,128
8,431,66325,9
8,432,66401,128
8,432,66440,128
8,432,66479,9
8,433,66555,128
8,433,66594,128
8,433,66633,10
8,434,66709,128
8,434,66748,128
8,434,66786,6
8,435,66863,128
8,435,66901,128
8,435,66940,5
8,436,67016,128
8,436,67055,128
8,436,67094,11
8,437,67170,128
8,437,67209,128
8,437,67247,10
8,438,67324,128
8,438,67362,128
8,438,67401,10
8,439,67477,128
8,439,67516,128
8,439,67555,7
8,440,67631,128
8,440,67670,128
8,440,67708,13
8,441,67785,128
8,441,67824,128
8,441,67862,10
8,442,67938,128
8,442,67977,128
8,442,68016,10
8,443,68092,128
8,443,68131,128
8,443,68170,10
8,444,68246,128
8,444,68285,128
8,444,68323,11
8,445,68399,128
8,445,68438,128
8,445,68477,8
8,446,68553,128
8,446,68592,128
8,446,68631,7
8,447,68707,128
8,447,68746,128
8,447,68784,12
8,448,68861,128
8,448,68899,128
8,448,68938,8
8,449,69014,128
8,449,69053,128
8,449,69092,14
8,450,69168,128
8,450,69207,128
8,450,69246,9
8,451,69322,128
8,451,69361,128
8,451,69399,13
8,452,69475,128
8,452,69514,128
8,452,69553,12
8,453,69629,128
8,453,69668,128
8,453,69707,8
8,454,69783,128
8,454,69822,128
8,454,69860,11
8,455,69937,128
8,455,69975,128
8,455,70014,12
8,456,70090,128
8,456,70129,128
8,456,70168,15
8,457,70244,128
8,457,70283,128
8,457,70321,7
8,458,70398,128
8,458,70436,128
8,458,70475,7
8,459,70551,128
8,459,70590,128
8,459,70629,10
8,460,70705,128
8,460,70744,128
8,460,70782,14
8,461,70859,128
8,461,70898,128
8,461,70936,14
8,462,71013,128
8,462,71051,128
8,462,71090,11
8,463,71166,128
8,463,71205,128
8,463,71244,15
8,464,71320,128
8,464,71359,128
8,464,71397,6
8,465,71474,128
8,465,71512,128
8,465,71551,8
8,466,71627,128
8,466,71666,128
8,466,71705,11
8,467,71781,128
8,467,71820,128
8,467,71858,9
8,468,71935,128
8,468,71973,128
8,468,72012,11
8,469,72088,128
8,469,72127,128
8,469,72166,11
8,470,72242,128
8,470,72281,128
8,470,72319,9
8,471,72396,128
8,471,72435,128
8,471,72473,12
8,472,72550,128
8,472,72588,128
8,472,72627,12
8,473,72703,128
8,473,72742,128
8,473,72781,17
8,474,72857,128
8,474,72896,128
8,474,72934,16
8,475,73011,128
8,475,73049,128
8,475,73088,16
8,476,73164,128
8,476,73203,128
8,476,73242,11
8,477,73318,128
8,477,73357,128
8,477,73396,12
8,478,73472,128
8,478,73511,128
8,478,73549,11
8,479,73625,128
8,479,73664,128
8,479,73703,5
8,480,73779,128
8,480,73818,128
8,480,73856,15
8,481,73933,128
8,481,73971,128
8,481,74010,8
8,482,74086,128
8,482,74125,128
8,482,74164,7
8,483,74240,128
8,483,74279,128
8,483,74318,9
8,484,74394,128
8,484,74433,128
8,484,74472,11
8,485,74548,128
8,485,74587,128
8,485,74625,3
8,486,74702,128
8,486,74740,128
8,486,74779,8
8,487,74855,128
8,487,74894,128
8,487,74933,9
8,488,75009,128
8,488,75048,128
8,488,75086,8
8,489,75163,128
8,489,75201,128
8,489,75240,8
8,490,75316,128
8,490,75355,128
8,490,75393,5
8,491,75470,128
8,491,75508,128
8,491,75547,13
8,492,75623,128
8,492,75662,128
8,492,75701,11
8,493,75777,128
8,493,75816,128
8,493,75855,9
8,494,75931,128
8,494,75970,128
8,494,76008,6
8,495,76085,128
8,495,76124,128
8,495,76162,13
8,496,76239,128
8,496,76277,128
8,496,76316,6
8,497,76392,128
8,497,76431,128
8,497,76470,5
8,498,76546,128
8,498,76585,128
8,499,76699,128
8,499,76738,128
8,499,76776,6
8,500,76852,128
8,500,76891,128
8,500,76930,9
8,501,77006,128
8,501,77045,128
8,501,77083,13
8,502,77160,128
8,502,77198,128
8,502,77237,13
8,503,77313,128
8,503,77352,128
8,503,77391,13
8,504,77467,128
8,504,77506,128
8,504,77544,13
8,505,77621,128
8,505,77659,128
8,505,77698,15
8,506,77774,128
8,506,77813,128
